Região Habilitação Atual;UF Habilitação Atual;Sexo;Categoria;A-Condutor Moto;AB-Condutor Moto/Carro;AC-Condutor Moto/Caminhão;AD-Condutor Moto/Ônibus;AE-Condutor Moto/Carreta;B-Condutor Carro;C-Condutor Caminhão;D-Condutor Ônibus;E-Condutor Carreta;X-Condutor Ciclomotor;XB-Condutor Ciclomotor/Carro;XC-Condutor Ciclomotor/Caminhão;XD-Condutor Ciclomotor/Ônibus;XE-Condutor Ciclomotor/Carreta;Total
;;;Faixa Etária;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico
;;;71 a 80;191 ;810 ;10 ;25 ;4 ;29.847 ;73 ;70 ;7 ;;1 ;;;;31.038 
;;;81 a 90;13 ;45 ;2 ;2 ;;7.897 ;13 ;23 ;1 ;;;;;;7.996 
;;;91 a 100;;4 ;;;;1.403 ;;2 ;;;;;;;1.409 
;;;101 a 120;;1 ;;;;90 ;;;;;;;;;91 
;;;Total;46.198 ;460.990 ;404 ;7.099 ;1.061 ;611.809 ;467 ;3.115 ;233 ;;1 ;;;;1.131.377 
;;Total;;109.036 ;1.404.699 ;33.489 ;197.137 ;77.757 ;1.102.765 ;32.069 ;76.607 ;26.825 ;;2 ;;;;3.060.386 
;Mato Grosso do Sul;Masculino;18 a 21;860 ;20.196 ;200 ;100 ;11 ;5.304 ;21 ;6 ;1 ;;;;;;26.699 
;;;22 a 25;2.300 ;35.467 ;534 ;2.273 ;523 ;8.911 ;64 ;148 ;33 ;;2 ;;;;50.255 
;;;26 a 30;4.298 ;53.075 ;1.509 ;6.969 ;2.815 ;12.867 ;86 ;433 ;134 ;;;;;;82.186 
;;;31 a 40;6.770 ;101.537 ;4.557 ;27.517 ;15.935 ;21.996 ;294 ;1.667 ;563 ;;2 ;;;;180.838 
;;;41 a 50;4.238 ;77.391 ;6.784 ;29.409 ;20.392 ;22.767 ;1.330 ;3.646 ;2.405 ;;1 ;;;;168.363 
;;;51 a 60;2.860 ;46.796 ;9.589 ;16.250 ;10.818 ;26.281 ;4.558 ;5.174 ;3.746 ;;3 ;;;;126.075 
;;;61 a 70;1.200 ;20.833 ;7.541 ;6.220 ;3.558 ;28.394 ;10.142 ;6.131 ;4.005 ;1 ;;;;;88.025 
;;;71 a 80;348 ;6.498 ;1.501 ;1.047 ;410 ;25.784 ;6.811 ;3.216 ;1.254 ;;;;;;46.869 
