Região Habilitação Atual;UF Habilitação Atual;Sexo;Categoria;A-Condutor Moto;AB-Condutor Moto/Carro;AC-Condutor Moto/Caminhão;AD-Condutor Moto/Ônibus;AE-Condutor Moto/Carreta;B-Condutor Carro;C-Condutor Caminhão;D-Condutor Ônibus;E-Condutor Carreta;X-Condutor Ciclomotor;XB-Condutor Ciclomotor/Carro;XC-Condutor Ciclomotor/Caminhão;XD-Condutor Ciclomotor/Ônibus;XE-Condutor Ciclomotor/Carreta;Total
;;;Faixa Etária;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico
;;;91 a 100;20 ;224 ;7 ;19 ;;3.844 ;104 ;194 ;10 ;;;;;;4.422 
;;;101 a 120;2 ;9 ;;;;448 ;;2 ;;;;;;;461 
;;;Total;27.925 ;623.495 ;14.532 ;162.529 ;45.620 ;216.235 ;12.506 ;36.853 ;8.629 ;;;;;;1.148.324 
;;Feminino;18 a 21;104 ;5.951 ;;1 ;;2.806 ;;;;;;;;;8.862 
;;;22 a 25;445 ;17.697 ;3 ;89 ;4 ;7.455 ;;4 ;1 ;;;;;;25.698 
;;;26 a 30;1.024 ;38.348 ;7 ;555 ;36 ;15.199 ;2 ;20 ;1 ;;;;;;55.192 
;;;31 a 40;2.971 ;94.862 ;40 ;2.631 ;351 ;43.208 ;4 ;178 ;14 ;;;;;;144.259 
;;;41 a 50;2.860 ;66.719 ;99 ;2.378 ;457 ;51.000 ;38 ;451 ;61 ;;;;;;124.063 
;;;51 a 60;1.641 ;24.259 ;132 ;855 ;174 ;38.648 ;97 ;471 ;52 ;;;;;;66.329 
;;;61 a 70;508 ;5.461 ;59 ;221 ;62 ;25.561 ;116 ;273 ;34 ;;;;;;32.295 
;;;71 a 80;74 ;643 ;13 ;27 ;7 ;10.758 ;38 ;58 ;12 ;;;;;;11.630 
;;;81 a 90;5 ;43 ;1 ;2 ;;2.718 ;7 ;10 ;1 ;;;;;;2.787 
;;;91 a 100;;2 ;;;;447 ;;2 ;;;;;;;451 
;;;101 a 120;;;;;;24 ;;;;;;;;;24 
;;;Total;9.632 ;253.985 ;354 ;6.759 ;1.091 ;197.824 ;302 ;1.467 ;176 ;;;;;;471.590 
;;Total;;37.557 ;877.480 ;14.886 ;169.288 ;46.711 ;414.059 ;12.808 ;38.320 ;8.805 ;;;;;;1.619.914 
;Rondônia;Masculino;18 a 21;161 ;16.143 ;122 ;71 ;18 ;1.099 ;;;;;;;;;17.614 
;;;22 a 25;531 ;28.268 ;299 ;1.609 ;510 ;2.110 ;3 ;27 ;2 ;;;;;;33.359 
;;;26 a 30;989 ;42.678 ;334 ;4.912 ;1.941 ;3.112 ;6 ;73 ;19 ;;;;;;54.064 
;;;31 a 40;2.409 ;81.031 ;1.239 ;20.561 ;8.986 ;5.917 ;31 ;354 ;129 ;;;;;;120.657 
;;;41 a 50;2.851 ;64.265 ;4.133 ;20.168 ;10.351 ;6.322 ;233 ;756 ;587 ;;1 ;1 ;;;109.668 
;;;51 a 60;2.742 ;40.301 ;7.924 ;11.831 ;6.891 ;7.331 ;1.358 ;1.454 ;1.370 ;;;;;;81.202 
;;;61 a 70;1.448 ;19.266 ;5.208 ;5.153 ;2.941 ;9.308 ;2.720 ;2.350 ;1.766 ;1 ;;;;;50.161 
;;;71 a 80;513 ;6.257 ;1.230 ;1.056 ;439 ;7.503 ;1.856 ;1.408 ;703 ;;;;;;20.965 
;;;81 a 90;160 ;1.134 ;300 ;168 ;27 ;3.243 ;919 ;540 ;124 ;;;;;;6.615 
;;;91 a 100;17 ;115 ;41 ;15 ;3 ;845 ;332 ;122 ;14 ;;;;;;1.504 
;;;101 a 120;;5 ;1 ;1 ;;79 ;15 ;6 ;;;;;;;107 
;;;Total;11.821 ;299.463 ;20.831 ;65.545 ;32.107 ;46.869 ;7.473 ;7.090 ;4.714 ;1 ;1 ;1 ;;;495.916 
;;Feminino;18 a 21;145 ;9.157 ;4 ;;1 ;1.575 ;;;;;;;;;10.882 
;;;22 a 25;595 ;17.793 ;11 ;37 ;2 ;3.343 ;1 ;2 ;;;;;;;21.784 
;;;26 a 30;1.137 ;31.547 ;12 ;179 ;38 ;5.585 ;;4 ;;;;;;;38.502 
;;;31 a 40;3.658 ;68.835 ;40 ;793 ;149 ;12.199 ;;33 ;;;;;;;85.707 
;;;41 a 50;4.678 ;49.493 ;124 ;735 ;155 ;14.074 ;13 ;89 ;7 ;;;;;;69.368 
;;;51 a 60;2.786 ;20.703 ;211 ;279 ;70 ;14.152 ;73 ;69 ;16 ;;;;;;38.359 
;;;61 a 70;731 ;4.798 ;81 ;54 ;16 ;9.954 ;81 ;66 ;10 ;;;;;;15.791 
;;;71 a 80;89 ;513 ;19 ;4 ;;3.095 ;26 ;6 ;2 ;;;;;;3.754 
;;;81 a 90;4 ;27 ;1 ;3 ;;517 ;7 ;1 ;1 ;;;;;;561 
;;;91 a 100;;;;;;43 ;;;;;;;;;43 
;;;101 a 120;;;;;;2 ;;;;;;;;;2 
;;;Total;13.823 ;202.866 ;503 ;2.084 ;431 ;64.539 ;201 ;270 ;36 ;;;;;;284.753 
;;Total;;25.644 ;502.329 ;21.334 ;67.629 ;32.538 ;111.408 ;7.674 ;7.360 ;4.750 ;1 ;1 ;1 ;;;780.669 
;Roraima;Masculino;18 a 21;88 ;3.090 ;3 ;26 ;;780 ;;1 ;;;;;;;3.988 
;;;22 a 25;300 ;6.003 ;6 ;432 ;21 ;1.441 ;6 ;23 ;;;;;;;8.232 
;;;26 a 30;712 ;9.142 ;40 ;1.208 ;151 ;2.070 ;31 ;62 ;10 ;;;;;;13.426 
;;;31 a 40;1.280 ;18.200 ;152 ;4.658 ;976 ;3.107 ;152 ;395 ;49 ;;;;;;28.969 
;;;41 a 50;1.021 ;14.672 ;359 ;5.245 ;1.107 ;2.570 ;110 ;591 ;131 ;;;;;;25.806 
;;;51 a 60;672 ;8.433 ;780 ;2.899 ;656 ;2.400 ;346 ;693 ;174 ;;;;;;17.053 
;;;61 a 70;330 ;4.158 ;716 ;1.415 ;286 ;2.225 ;448 ;656 ;177 ;;;;;;10.411 
;;;71 a 80;137 ;1.580 ;252 ;320 ;64 ;1.406 ;264 ;338 ;51 ;;;;;;4.412 
;;;81 a 90;48 ;329 ;66 ;36 ;8 ;522 ;129 ;101 ;9 ;;;;;;1.248 
;;;91 a 100;14 ;70 ;12 ;5 ;1 ;145 ;36 ;16 ;;;;;;;299 
;;;101 a 120;;12 ;;;;14 ;6 ;;;;;;;;32 
;;;Total;4.602 ;65.689 ;2.386 ;16.244 ;3.270 ;16.680 ;1.528 ;2.876 ;601 ;;;;;;113.876 
;;Feminino;18 a 21;50 ;1.112 ;;;;908 ;;;;;;;;;2.070 
;;;22 a 25;166 ;2.642 ;1 ;10 ;;1.805 ;;;;;;;;;4.624 
;;;26 a 30;593 ;4.774 ;;27 ;5 ;2.921 ;;5 ;;;;;;;8.325 
;;;31 a 40;1.489 ;11.779 ;6 ;141 ;7 ;5.154 ;13 ;15 ;1 ;;;;;;18.605 
;;;41 a 50;1.327 ;9.094 ;7 ;164 ;13 ;4.674 ;11 ;33 ;2 ;;;;;;15.325 
;;;51 a 60;472 ;3.745 ;8 ;54 ;6 ;3.634 ;7 ;35 ;1 ;;1 ;;;;7.963 
;;;61 a 70;156 ;1.198 ;5 ;23 ;3 ;2.319 ;14 ;14 ;1 ;1 ;;;;;3.734 
;;;71 a 80;38 ;267 ;3 ;1 ;1 ;763 ;4 ;2 ;;;;;;;1.079 
;;;81 a 90;4 ;35 ;1 ;;;138 ;;;;;;;;;178 
;;;91 a 100;;4 ;;;;15 ;;1 ;;;;;;;20 
;;;Total;4.295 ;34.650 ;31 ;420 ;35 ;22.331 ;49 ;105 ;5 ;1 ;1 ;;;;61.923 
;;Total;;8.897 ;100.339 ;2.417 ;16.664 ;3.305 ;39.011 ;1.577 ;2.981 ;606 ;1 ;1 ;;;;175.799 
;Tocantins;Masculino;18 a 21;70 ;12.540 ;195 ;67 ;21 ;1.387 ;18 ;2 ;3 ;;;;;;14.303 
;;;22 a 25;228 ;22.492 ;310 ;1.639 ;717 ;1.940 ;39 ;46 ;49 ;;;;;;27.460 
;;;26 a 30;539 ;33.030 ;179 ;4.971 ;2.181 ;2.996 ;21 ;137 ;141 ;;;;;;44.195 
;;;31 a 40;1.950 ;59.903 ;418 ;17.178 ;8.030 ;5.333 ;57 ;561 ;514 ;;;;;;93.944 
;;;41 a 50;2.267 ;45.817 ;1.071 ;17.623 ;7.317 ;7.944 ;382 ;1.984 ;1.479 ;;;;;;85.884 
;;;51 a 60;1.964 ;25.153 ;2.583 ;8.827 ;3.281 ;9.124 ;1.614 ;3.007 ;1.496 ;;;;;;57.049 
;;;61 a 70;1.107 ;10.287 ;1.739 ;3.353 ;1.060 ;8.815 ;2.592 ;3.189 ;1.143 ;;;;;;33.285 
;;;71 a 80;411 ;2.786 ;415 ;645 ;148 ;7.080 ;1.549 ;1.708 ;331 ;;;;;;15.073 
;;;81 a 90;93 ;384 ;48 ;89 ;3 ;3.129 ;637 ;552 ;47 ;;;;;;4.982 
;;;91 a 100;8 ;31 ;5 ;5 ;;890 ;124 ;92 ;5 ;;;;;;1.160 
;;;101 a 120;;;;;;96 ;6 ;;;;;;;;102 
;;;Total;8.637 ;212.423 ;6.963 ;54.397 ;22.758 ;48.734 ;7.039 ;11.278 ;5.208 ;;;;;;377.437 
;;Feminino;18 a 21;43 ;5.206 ;4 ;2 ;;1.641 ;2 ;;;;;;;;6.898 
;;;22 a 25;140 ;10.621 ;3 ;31 ;5 ;2.966 ;1 ;3 ;;;;;;;13.770 
;;;26 a 30;516 ;19.168 ;3 ;104 ;25 ;4.523 ;1 ;13 ;3 ;;;;;;24.356 
;;;31 a 40;2.262 ;42.101 ;7 ;457 ;67 ;9.614 ;1 ;40 ;4 ;;;;;;54.553 
;;;41 a 50;2.695 ;30.740 ;12 ;482 ;71 ;12.899 ;12 ;102 ;9 ;;;;;;47.022 
;;;51 a 60;1.558 ;11.767 ;32 ;188 ;22 ;12.246 ;55 ;91 ;10 ;;;;;;25.969 
;;;61 a 70;425 ;2.379 ;19 ;29 ;8 ;7.676 ;53 ;66 ;2 ;;;;;;10.657 
;;;71 a 80;56 ;172 ;1 ;5 ;;2.634 ;12 ;9 ;1 ;;;;;;2.890 
;;;81 a 90;1 ;7 ;;;;558 ;3 ;3 ;;;;;;;572 
;;;91 a 100;;;;;;55 ;1 ;;;;;;;;56 
;;;101 a 120;;;;;;2 ;;;;;;;;;2 
;;;Total;7.696 ;122.161 ;81 ;1.298 ;198 ;54.814 ;141 ;327 ;29 ;;;;;;186.745 
;;Total;;16.333 ;334.584 ;7.044 ;55.695 ;22.956 ;103.548 ;7.180 ;11.605 ;5.237 ;;;;;;564.182 
;Total;;;192.228 ;2.296.301 ;55.165 ;381.949 ;121.669 ;1.198.785 ;40.575 ;96.426 ;26.211 ;9 ;4 ;2 ;;;4.409.324 
Sudeste;Espírito Santo;Masculino;18 a 21;874 ;23.732 ;228 ;80 ;18 ;5.694 ;16 ;8 ;1 ;;;;;;30.651 
;;;22 a 25;2.484 ;47.286 ;578 ;3.202 ;442 ;11.575 ;48 ;194 ;31 ;;;;;;65.840 
;;;26 a 30;3.482 ;72.585 ;764 ;9.798 ;1.981 ;19.796 ;52 ;775 ;174 ;;1 ;;;;109.408 
;;;31 a 40;6.760 ;149.032 ;1.734 ;40.237 ;12.362 ;44.982 ;169 ;3.675 ;1.045 ;;8 ;;1 ;;260.005 
;;;41 a 50;5.277 ;109.745 ;2.813 ;40.945 ;17.034 ;57.447 ;991 ;9.907 ;4.660 ;;8 ;;;;248.827 
;;;51 a 60;4.305 ;63.024 ;5.886 ;21.061 ;8.114 ;56.781 ;3.704 ;12.461 ;4.975 ;;10 ;;;;180.321 
;;;61 a 70;2.107 ;30.658 ;2.932 ;9.194 ;2.560 ;62.804 ;4.595 ;16.313 ;4.040 ;;7 ;;;;135.210 
;;;71 a 80;538 ;9.077 ;493 ;1.511 ;349 ;45.623 ;2.331 ;7.275 ;1.354 ;2 ;;;;;68.553 
;;;81 a 90;124 ;2.222 ;108 ;261 ;34 ;21.831 ;1.234 ;2.441 ;234 ;;;;;;28.489 
;;;91 a 100;23 ;379 ;12 ;30 ;2 ;8.378 ;291 ;382 ;27 ;;;;;;9.524 
;;;101 a 120;1 ;25 ;;;;1.079 ;8 ;13 ;;;;;;;1.126 
;;;Total;25.975 ;507.765 ;15.548 ;126.319 ;42.896 ;335.990 ;13.439 ;53.444 ;16.541 ;2 ;34 ;;1 ;;1.137.954 
;;Feminino;18 a 21;466 ;9.337 ;4 ;;;5.078 ;;1 ;;;;;;;14.886 
;;;22 a 25;1.587 ;21.903 ;6 ;135 ;4 ;12.276 ;1 ;6 ;1 ;;;;;;35.919 
;;;26 a 30;2.846 ;39.166 ;13 ;518 ;28 ;24.747 ;2 ;68 ;2 ;;1 ;;;;67.391 
;;;31 a 40;6.590 ;85.859 ;20 ;2.198 ;182 ;68.130 ;5 ;418 ;14 ;;7 ;;;;163.423 
;;;41 a 50;5.382 ;51.270 ;36 ;1.643 ;187 ;76.909 ;17 ;889 ;46 ;;14 ;;;1 ;136.394 
;;;51 a 60;2.628 ;17.096 ;54 ;502 ;55 ;56.691 ;67 ;603 ;27 ;1 ;5 ;;;;77.729 
;;;61 a 70;546 ;3.481 ;16 ;102 ;17 ;40.419 ;77 ;369 ;17 ;;3 ;;;;45.047 
;;;71 a 80;36 ;378 ;3 ;12 ;4 ;17.181 ;36 ;100 ;4 ;;;;;;17.754 
;;;81 a 90;2 ;29 ;1 ;;;4.853 ;6 ;23 ;1 ;;;;;;4.915 
;;;91 a 100;;2 ;;1 ;;961 ;1 ;1 ;;;;;;;966 
;;;101 a 120;;;;;;48 ;;1 ;;;;;;;49 
;;;Total;20.083 ;228.521 ;153 ;5.111 ;477 ;307.293 ;212 ;2.479 ;112 ;1 ;30 ;;;1 ;564.473 
;;Total;;46.058 ;736.286 ;15.701 ;131.430 ;43.373 ;643.283 ;13.651 ;55.923 ;16.653 ;3 ;64 ;;1 ;1 ;1.702.427 
;Minas Gerais;Masculino;18 a 21;32.142 ;51.422 ;575 ;524 ;44 ;85.273 ;414 ;245 ;35 ;;;;;;170.674 
;;;22 a 25;50.392 ;118.364 ;1.246 ;11.889 ;2.126 ;145.298 ;865 ;5.395 ;969 ;2 ;3 ;;1 ;1 ;336.551 
;;;26 a 30;51.462 ;204.287 ;1.507 ;32.824 ;7.558 ;213.571 ;1.009 ;13.914 ;3.285 ;;2 ;;;1 ;529.420 
;;;31 a 40;71.134 ;472.889 ;3.954 ;127.130 ;38.590 ;419.318 ;2.213 ;46.172 ;13.047 ;1 ;7 ;;;1 ;1.194.456 
;;;41 a 50;43.532 ;378.980 ;11.426 ;134.590 ;45.855 ;419.289 ;7.234 ;73.327 ;22.975 ;1 ;8 ;;1 ;;1.137.218 
;;;51 a 60;27.155 ;231.178 ;21.670 ;81.689 ;22.652 ;355.813 ;17.477 ;77.326 ;20.230 ;2 ;2 ;;;;855.194 
;;;61 a 70;11.641 ;125.503 ;10.949 ;36.241 ;7.500 ;327.212 ;22.332 ;74.912 ;15.430 ;;4 ;;1 ;;631.725 
;;;71 a 80;2.796 ;42.098 ;1.838 ;6.606 ;1.083 ;237.964 ;10.494 ;33.831 ;4.614 ;1 ;2 ;;;;341.327 
;;;81 a 90;652 ;10.871 ;356 ;1.352 ;98 ;116.282 ;4.798 ;15.075 ;869 ;;;;;;150.353 
;;;91 a 100;109 ;2.118 ;57 ;241 ;7 ;43.179 ;1.243 ;4.587 ;100 ;;;;;;51.641 
;;;101 a 120;8 ;210 ;3 ;14 ;;6.849 ;136 ;334 ;2 ;;;;;;7.556 
;;;Total;291.023 ;1.637.920 ;53.581 ;433.100 ;125.513 ;2.370.048 ;68.215 ;345.118 ;81.556 ;7 ;28 ;;3 ;3 ;5.406.115 
;;Feminino;18 a 21;15.314 ;14.388 ;13 ;14 ;1 ;66.517 ;10 ;11 ;;;;;;;96.268 
;;;22 a 25;29.321 ;38.555 ;14 ;418 ;42 ;139.943 ;15 ;298 ;16 ;;;;;;208.622 
;;;26 a 30;36.639 ;78.429 ;19 ;1.473 ;144 ;237.278 ;15 ;1.032 ;59 ;;1 ;;;;355.089 
;;;31 a 40;56.928 ;187.548 ;35 ;6.325 ;686 ;556.057 ;43 ;4.817 ;251 ;1 ;1 ;;;;812.692 
;;;41 a 50;32.683 ;111.546 ;103 ;5.316 ;643 ;534.564 ;107 ;6.424 ;324 ;2 ;4 ;;;;691.716 
;;;51 a 60;12.250 ;40.920 ;424 ;1.851 ;271 ;364.688 ;721 ;4.173 ;212 ;1 ;4 ;;;;425.515 
;;;61 a 70;2.272 ;10.189 ;147 ;423 ;49 ;221.033 ;642 ;1.822 ;71 ;3 ;4 ;;;;236.655 
;;;71 a 80;174 ;1.330 ;7 ;28 ;3 ;94.544 ;211 ;350 ;7 ;1 ;;;;;96.655 
;;;81 a 90;10 ;113 ;6 ;6 ;;28.456 ;44 ;74 ;;;;;;;28.709 
;;;91 a 100;;5 ;;1 ;;6.282 ;6 ;13 ;;;;;;;6.307 
;;;101 a 120;;;;;;398 ;;;;;;;;;398 
;;;Total;185.591 ;483.023 ;768 ;15.855 ;1.839 ;2.249.760 ;1.814 ;19.014 ;940 ;8 ;14 ;;;;2.958.626 
;;Total;;476.614 ;2.120.943 ;54.349 ;448.955 ;127.352 ;4.619.808 ;70.029 ;364.132 ;82.496 ;15 ;42 ;;3 ;3 ;8.364.741 
;Rio de Janeiro;Masculino;18 a 21;2.805 ;31.802 ;43 ;49 ;;37.370 ;18 ;31 ;1 ;;;;;;72.119 
;;;22 a 25;10.742 ;81.589 ;162 ;3.823 ;307 ;94.245 ;46 ;1.975 ;126 ;;8 ;;;;193.023 
;;;26 a 30;17.945 ;130.090 ;216 ;13.599 ;1.744 ;170.576 ;93 ;7.982 ;741 ;;23 ;;;;343.009 
;;;31 a 40;31.598 ;258.210 ;518 ;49.297 ;9.733 ;412.289 ;462 ;39.006 ;5.658 ;3 ;135 ;2 ;1 ;;806.912 
;;;41 a 50;19.153 ;197.965 ;8.072 ;57.842 ;15.528 ;470.342 ;6.120 ;77.688 ;13.578 ;11 ;157 ;6 ;2 ;;866.464 
;;;51 a 60;9.033 ;129.425 ;28.044 ;38.214 ;10.388 ;366.405 ;32.594 ;69.144 ;11.638 ;11 ;109 ;6 ;5 ;4 ;695.020 
;;;61 a 70;3.248 ;90.242 ;12.658 ;24.950 ;3.520 ;339.832 ;37.129 ;68.959 ;8.275 ;20 ;42 ;3 ;2 ;1 ;588.881 
;;;71 a 80;692 ;39.045 ;2.442 ;8.666 ;671 ;260.252 ;19.193 ;47.850 ;2.982 ;12 ;20 ;2 ;;;381.827 
;;;81 a 90;158 ;12.449 ;741 ;2.755 ;87 ;148.436 ;9.403 ;27.596 ;791 ;1 ;3 ;;;;202.420 
;;;91 a 100;50 ;3.586 ;118 ;536 ;9 ;77.896 ;2.095 ;7.327 ;142 ;;;;;;91.759 
;;;101 a 120;7 ;470 ;8 ;46 ;;16.971 ;190 ;628 ;5 ;;;;;;18.325 
;;;Mais de 120;;;;;;6 ;;;;;;;;;6 
;;;Total;95.431 ;974.873 ;53.022 ;199.777 ;41.987 ;2.394.620 ;107.343 ;348.186 ;43.937 ;58 ;497 ;19 ;10 ;5 ;4.259.765 
;;Feminino;18 a 21;498 ;8.519 ;1 ;;;26.058 ;;;;;1 ;;;;35.077 
;;;22 a 25;2.050 ;22.402 ;;82 ;2 ;72.693 ;3 ;56 ;1 ;;2 ;;;;97.291 
;;;26 a 30;3.999 ;37.722 ;3 ;312 ;14 ;145.823 ;4 ;187 ;4 ;4 ;21 ;;;;188.093 
;;;31 a 40;8.709 ;67.928 ;4 ;1.309 ;111 ;398.376 ;14 ;1.434 ;68 ;13 ;85 ;;;;478.051 
;;;41 a 50;6.241 ;38.353 ;86 ;1.275 ;154 ;430.552 ;120 ;3.135 ;134 ;27 ;82 ;2 ;;;480.161 
;;;51 a 60;2.766 ;20.439 ;431 ;712 ;58 ;300.589 ;1.036 ;2.487 ;85 ;33 ;49 ;3 ;;;328.688 
;;;61 a 70;530 ;10.262 ;198 ;250 ;27 ;232.115 ;1.275 ;1.469 ;36 ;14 ;18 ;1 ;;;246.195 
;;;71 a 80;36 ;2.539 ;54 ;75 ;3 ;136.641 ;652 ;564 ;11 ;;1 ;;;;140.576 
;;;81 a 90;;353 ;11 ;23 ;2 ;51.424 ;200 ;202 ;2 ;;;;;;52.217 
;;;91 a 100;;62 ;1 ;3 ;;15.364 ;33 ;47 ;;;;;;;15.510 
;;;101 a 120;;5 ;;;;1.643 ;1 ;;;;;;;;1.649 
;;;Total;24.829 ;208.584 ;789 ;4.041 ;371 ;1.811.278 ;3.338 ;9.581 ;341 ;91 ;259 ;6 ;;;2.063.508 
;;Total;;120.260 ;1.183.457 ;53.811 ;203.818 ;42.358 ;4.205.898 ;110.681 ;357.767 ;44.278 ;149 ;756 ;25 ;10 ;5 ;6.323.273 
;São Paulo;Masculino;18 a 21;8.928 ;286.293 ;573 ;487 ;30 ;145.607 ;115 ;74 ;8 ;;1 ;;;;442.116 
;;;22 a 25;24.934 ;537.891 ;1.325 ;19.370 ;2.485 ;289.692 ;280 ;3.100 ;315 ;;1 ;;;;879.393 
;;;26 a 30;29.136 ;790.325 ;2.748 ;56.977 ;11.729 ;477.244 ;451 ;10.218 ;1.342 ;1 ;4 ;;;;1.380.175 
;;;31 a 40;41.906 ;1.694.243 ;8.966 ;246.992 ;77.876 ;1.051.810 ;2.225 ;52.427 ;11.504 ;4 ;18 ;;;;3.187.971 
;;;41 a 50;31.814 ;1.292.351 ;48.040 ;301.503 ;133.732 ;1.179.105 ;19.298 ;139.859 ;42.953 ;2 ;10 ;;;;3.188.667 
;;;51 a 60;17.392 ;701.520 ;159.950 ;202.268 ;98.371 ;919.582 ;109.026 ;192.806 ;54.843 ;1 ;7 ;;1 ;;2.455.767 
;;;61 a 70;7.264 ;359.299 ;51.137 ;132.639 ;36.439 ;900.544 ;84.822 ;276.779 ;51.291 ;;3 ;;1 ;;1.900.218 
;;;71 a 80;2.369 ;134.908 ;8.549 ;29.684 ;5.717 ;730.631 ;40.480 ;147.531 ;16.764 ;;1 ;;;;1.116.634 
;;;81 a 90;897 ;39.370 ;2.689 ;6.437 ;537 ;389.311 ;24.536 ;57.242 ;3.224 ;1 ;;;;;524.244 
;;;91 a 100;244 ;9.625 ;568 ;794 ;44 ;175.521 ;7.938 ;10.321 ;399 ;;;;;;205.454 
;;;101 a 120;21 ;999 ;22 ;18 ;4 ;29.376 ;463 ;341 ;7 ;;;;;;31.251 
;;;Total;164.905 ;5.846.824 ;284.567 ;997.169 ;366.964 ;6.288.423 ;289.634 ;890.698 ;182.650 ;9 ;45 ;;2 ;;15.311.890 
;;Feminino;18 a 21;2.851 ;138.261 ;11 ;12 ;1 ;141.756 ;3 ;6 ;1 ;;;;;;282.902 
;;;22 a 25;9.059 ;270.754 ;19 ;707 ;32 ;311.913 ;10 ;215 ;9 ;;1 ;;;;592.719 
;;;26 a 30;14.194 ;426.948 ;47 ;2.609 ;221 ;558.253 ;11 ;1.007 ;32 ;;4 ;;;;1.003.326 
;;;31 a 40;25.730 ;927.507 ;182 ;14.263 ;1.659 ;1.475.388 ;56 ;6.959 ;272 ;2 ;7 ;;1 ;;2.452.026 
;;;41 a 50;19.927 ;601.405 ;791 ;15.987 ;2.362 ;1.691.490 ;558 ;15.970 ;759 ;1 ;9 ;;;;2.349.259 
;;;51 a 60;9.923 ;253.327 ;6.230 ;7.399 ;1.206 ;1.257.642 ;18.107 ;16.561 ;644 ;3 ;2 ;;;;1.571.044 
;;;61 a 70;2.513 ;68.724 ;2.037 ;2.473 ;337 ;931.051 ;18.457 ;14.375 ;422 ;4 ;4 ;;;;1.040.397 
;;;71 a 80;245 ;9.728 ;273 ;345 ;37 ;469.965 ;7.381 ;4.858 ;85 ;;;;;;492.917 
;;;81 a 90;25 ;1.007 ;36 ;54 ;5 ;163.431 ;1.366 ;1.045 ;13 ;;;;;;166.982 
;;;91 a 100;2 ;98 ;1 ;6 ;;41.728 ;101 ;81 ;2 ;;;;;;42.019 
;;;101 a 120;;10 ;;;;3.577 ;7 ;1 ;;;;;;;3.595 
;;;Mais de 120;;1 ;;;;1 ;;;;;;;;;2 
;;;Total;84.469 ;2.697.770 ;9.627 ;43.855 ;5.860 ;7.046.195 ;46.057 ;61.078 ;2.239 ;10 ;27 ;;1 ;;9.997.188 
;;Total;;249.374 ;8.544.594 ;294.194 ;1.041.024 ;372.824 ;13.334.618 ;335.691 ;951.776 ;184.889 ;19 ;72 ;;3 ;;25.309.078 
;Total;;;892.306 ;12.585.280 ;418.055 ;1.825.227 ;585.907 ;22.803.607 ;530.052 ;1.729.598 ;328.316 ;186 ;934 ;25 ;17 ;9 ;41.699.519 
Sul;Paraná;Masculino;18 a 21;1.328 ;85.466 ;1.763 ;273 ;102 ;37.017 ;342 ;41 ;18 ;;;;;;126.350 
;;;22 a 25;3.390 ;144.438 ;4.729 ;8.604 ;2.894 ;65.587 ;990 ;1.409 ;526 ;;6 ;;;;232.573 
;;;26 a 30;4.863 ;213.952 ;6.883 ;24.674 ;10.112 ;99.468 ;1.296 ;4.134 ;1.795 ;;24 ;;3 ;2 ;367.206 
;;;31 a 40;8.501 ;405.740 ;19.140 ;80.792 ;44.989 ;188.798 ;3.987 ;15.104 ;8.581 ;2 ;97 ;6 ;6 ;3 ;775.746 
;;;41 a 50;6.182 ;270.868 ;28.715 ;74.939 ;57.312 ;224.767 ;13.503 ;31.084 ;26.071 ;;71 ;6 ;3 ;16 ;733.537 
;;;51 a 60;4.747 ;180.043 ;46.781 ;41.410 ;40.539 ;201.894 ;27.041 ;28.816 ;25.080 ;;50 ;12 ;2 ;15 ;596.430 
;;;61 a 70;1.961 ;96.048 ;29.992 ;15.682 ;15.609 ;185.640 ;42.425 ;22.252 ;21.147 ;2 ;21 ;4 ;2 ;;430.785 
;;;71 a 80;558 ;35.560 ;5.815 ;4.280 ;2.227 ;151.096 ;23.484 ;15.862 ;7.712 ;;5 ;;;2 ;246.601 
;;;81 a 90;151 ;9.011 ;1.560 ;1.090 ;195 ;76.387 ;12.927 ;8.977 ;1.464 ;;;;;;111.762 
;;;91 a 100;22 ;1.676 ;289 ;290 ;10 ;27.526 ;4.523 ;3.546 ;157 ;;;;;;38.039 
;;;101 a 120;1 ;156 ;20 ;25 ;;4.049 ;358 ;333 ;2 ;;1 ;;;;4.945 
;;;Mais de 120;;;;;;;;1 ;;;;;;;1 
;;;Total;31.704 ;1.442.958 ;145.687 ;252.059 ;173.989 ;1.262.229 ;130.876 ;131.559 ;92.553 ;4 ;275 ;28 ;16 ;38 ;3.663.975 
;;Feminino;18 a 21;821 ;39.364 ;44 ;8 ;3 ;42.847 ;24 ;4 ;2 ;;;;;;83.117 
;;;22 a 25;2.299 ;72.193 ;123 ;363 ;61 ;89.486 ;59 ;162 ;19 ;;6 ;;;;164.771 
;;;26 a 30;4.380 ;120.491 ;165 ;1.301 ;190 ;147.914 ;86 ;532 ;54 ;;16 ;;;;275.129 
;;;31 a 40;9.454 ;250.314 ;459 ;5.014 ;899 ;327.118 ;268 ;2.391 ;264 ;1 ;49 ;;;;596.231 
